sentence,label,label_source
- Hand in the budget due the day after tomorrow.,deadline,synthetic
* Send the paper on or before the day after tomorrow.,deadline,synthetic
Don't forget to hand in the analysis by in 1 week.,deadline,synthetic
"Reminder: Finish the report expected by September 8, 2026.",deadline,synthetic
"The paper must be no later than March 12, 2026.",deadline,synthetic
"By June 1, deliver the overview.",deadline,synthetic
We should send the memo until in a couple of hours.,deadline,synthetic
"Reminder: Prepare the documentation until July 21, 2026.",deadline,synthetic
Don't forget to submit the paper on or before next Saturday.,deadline,synthetic
Plan to have the schedule ready due the day after tomorrow.,deadline,synthetic
We should turn in the presentation before November 1.,deadline,synthetic
Is the assignment due in 3 weeks?,deadline,synthetic
Please submit the budget no later than next Thursday.,deadline,synthetic
Can you turn in the project plan no later than May 15?,deadline,synthetic
Can you complete the budget on or before next Saturday?,deadline,synthetic
Is the assignment due tomorrow?,deadline,synthetic
Please finish the article on or before next Monday.,deadline,synthetic
* Email the summary before December 22.,deadline,synthetic
Please finalize the presentation due February 12.,deadline,synthetic
Is the code fix due July 1?,deadline,synthetic
The assignment is before July 13.,deadline,synthetic
Ensure the presentation is completed no later than tomorrow.,deadline,synthetic
Plan to have the code fix ready expected by July 28.,deadline,synthetic
The analysis is by February 2.,deadline,synthetic
The proposal is expected by in 7 days.,deadline,synthetic
Please submit the document on or before the day after tomorrow.,deadline,synthetic
Is the overview due end of the week?,deadline,synthetic
"Make sure the article is no later than May 23, 2026.",deadline,synthetic
"Submit the analysis due August 28, 2026.",deadline,synthetic
Don't forget to send the proposal until June 19 at 8pm.,deadline,synthetic
The budget is until September 13 at 6pm.,deadline,synthetic
Don't forget to submit the presentation on or before in a couple of hours.,deadline,synthetic
- Send the file due EOD.,deadline,synthetic
Ensure the memo is completed before in 3 days.,deadline,synthetic
The memo is before September 5.,deadline,synthetic
Can you submit the documentation until September 8?,deadline,synthetic
Make sure the presentation is until tomorrow.,deadline,synthetic
Ensure the code fix is completed by in 3 days.,deadline,synthetic
Don't forget: Send the overview until the day after tomorrow.,deadline,synthetic
Don't forget to finish the analysis expected by in 4 weeks.,deadline,synthetic
"By December 16, 2026, prepare the proposal.",deadline,synthetic
"The document must be due March 21, 2026.",deadline,synthetic
Ensure the paper is completed until in 3 weeks.,deadline,synthetic
* Finish the paper no later than tomorrow.,deadline,synthetic
Plan to have the schedule ready expected by the day after tomorrow.,deadline,synthetic
Can you finalize the code fix on or before the day after tomorrow?,deadline,synthetic
We should submit the budget due this Monday.,deadline,synthetic
Make sure the article is expected by the day after tomorrow.,deadline,synthetic
