sentence_orig,sentence,label,label_source,has_signoff
rearrange closet,rearrange closet,task,mslatte,0
meeting tasks,meeting tasks,task,mslatte,0
taste of home,taste of home,task,mslatte,0
bring book in,bring book in,task,mslatte,0
sociology paper,sociology paper,task,mslatte,0
paper hold,paper hold,task,mslatte,0
osteopath,osteopath,task,mslatte,0
fix tv remote,fix tv remote,task,mslatte,0
put on license sticker,put on license sticker,task,mslatte,0
text nazgul,text nazgul,task,mslatte,0
buy envelops,buy envelops,task,mslatte,0
mom application,mom application,task,mslatte,0
girls shoes,girls shoes,task,mslatte,0
book,book,task,mslatte,0
drop off dogs,drop off dogs,task,mslatte,0
creative review,creative review,task,mslatte,0
roettger turkey,roettger turkey,task,mslatte,0
finish udemy course,finish udemy course,task,mslatte,0
check garage door,check garage door,task,mslatte,0
monthly comms,monthly comms,task,mslatte,0
office layout,office layout,task,mslatte,0
start sop,start sop,task,mslatte,0
report time,report time,task,mslatte,0
office attire,office attire,task,mslatte,0
dining room windows,dining room windows,task,mslatte,0
electronic recycle,electronic recycle,task,mslatte,0
heathrow express tix,heathrow express tix,task,mslatte,0
5x tshirts,5x tshirts,task,mslatte,0
call 8,call 8,task,mslatte,0
eat cucumbers,eat cucumbers,task,mslatte,0
sign insurance docs,sign insurance docs,task,mslatte,0
rv plan,rv plan,task,mslatte,0
copy dvd,copy dvd,task,mslatte,0
text martin,text martin,task,mslatte,0
platinum caulk,platinum caulk,task,mslatte,0
rafi cider vinegar,rafi cider vinegar,task,mslatte,0
soak in bath,soak in bath,task,mslatte,0
new barclaycard,new barclaycard,task,mslatte,0
photo ledge,photo ledge,task,mslatte,0
return paint to home depot,return paint to home depot,task,mslatte,0
respond to madan,respond to madan,task,mslatte,0
process journal,process journal,task,mslatte,0
put bags out,put bags out,task,mslatte,0
renew dbs,renew dbs,task,mslatte,0
science wb,science wb,task,mslatte,0
dvd collection,dvd collection,task,mslatte,0
check waivers,check waivers,task,mslatte,0
go for bike ride,go for bike ride,task,mslatte,0
change mobile plan,change mobile plan,task,mslatte,0
package ebay sales,package ebay sales,task,mslatte,0
reply to zijun,reply to zijun,task,mslatte,0
dvd movies,dvd movies,task,mslatte,0
email to sc,email to sc,task,mslatte,0
paint toilet,paint toilet,task,mslatte,0
remember money,remember money,task,mslatte,0
nyu bill,nyu bill,task,mslatte,0
look for flash drive,look for flash drive,task,mslatte,0
respond to korey,respond to korey,task,mslatte,0
machine learning course,machine learning course,task,mslatte,0
swimming lessons sign up,swimming lessons sign up,task,mslatte,0
print out trip info,print out trip info,task,mslatte,0
look for cc,look for cc,task,mslatte,0
dr refill,dr refill,task,mslatte,0
email jelly,email jelly,task,mslatte,0
basant salt,basant salt,task,mslatte,0
teacher eval,teacher eval,task,mslatte,0
sterilizer,sterilizer,task,mslatte,0
order hair products,order hair products,task,mslatte,0
maddie bath,maddie bath,task,mslatte,0
ssa paperwork,ssa paperwork,task,mslatte,0
call renters warehouse,call renters warehouse,task,mslatte,0
work id card,work id card,task,mslatte,0
respond to kral,respond to kral,task,mslatte,0
hw #0,hw #0,task,mslatte,0
change home insurance address,change home insurance address,task,mslatte,0
zzzquil liquid,zzzquil liquid,task,mslatte,0
see bob,see bob,task,mslatte,0
desserts,desserts,task,mslatte,0
real estate meeting,real estate meeting,task,mslatte,0
make poster board,make poster board,task,mslatte,0
tissue paper flowers,tissue paper flowers,task,mslatte,0
irs number,irs number,task,mslatte,0
make gf flour,make gf flour,task,mslatte,0
deal with icloud,deal with icloud,task,mslatte,0
music for camp,music for camp,task,mslatte,0
tidy dining table,tidy dining table,task,mslatte,0
contact jelani,contact jelani,task,mslatte,0
facecloths,facecloths,task,mslatte,0
write out routine,write out routine,task,mslatte,0
tent rental,tent rental,task,mslatte,0
look for scales,look for scales,task,mslatte,0
bring flute,bring flute,task,mslatte,0
scooter,scooter,task,mslatte,0
obituaries,obituaries,task,mslatte,0
dinner dance,dinner dance,task,mslatte,0
pest treatment,pest treatment,task,mslatte,0
dinner stuff,dinner stuff,task,mslatte,0
bring in headphones,bring in headphones,task,mslatte,0
stats worksheets,stats worksheets,task,mslatte,0
adjust schedule,adjust schedule,task,mslatte,0
buy bird feeder,buy bird feeder,task,mslatte,0
325 hw,325 hw,task,mslatte,0
set up wunderlist on phone,set up wunderlist on phone,task,mslatte,0
find painter,find painter,task,mslatte,0
access project,access project,task,mslatte,0
pick up rabbit food,pick up rabbit food,task,mslatte,0
spaarkamer,spaarkamer,task,mslatte,0
buy ny flight,buy ny flight,task,mslatte,0
call dell,call dell,task,mslatte,0
call club monaco,call club monaco,task,mslatte,0
put songs on phone,put songs on phone,task,mslatte,0
get spray paint,get spray paint,task,mslatte,0
clean out binder,clean out binder,task,mslatte,0
email ton,email ton,task,mslatte,0
google play credits,google play credits,task,mslatte,0
ikemefuna milk,ikemefuna milk,task,mslatte,0
design poster,design poster,task,mslatte,0
cb emails,cb emails,task,mslatte,0
buy movie tix,buy movie tix,task,mslatte,0
pay tuition fees,pay tuition fees,task,mslatte,0
secure bookshelf,secure bookshelf,task,mslatte,0
call dennis,call dennis,task,mslatte,0
call britta,call britta,task,mslatte,0
download call recorder,download call recorder,task,mslatte,0
call dog groomer,call dog groomer,task,mslatte,0
astronaut costume,astronaut costume,task,mslatte,0
paint master bedroom,paint master bedroom,task,mslatte,0
text shrirang,text shrirang,task,mslatte,0
msg gabby,msg gabby,task,mslatte,0
scouts uniform,scouts uniform,task,mslatte,0
return jcrew dresses,return jcrew dresses,task,mslatte,0
shower guest list,shower guest list,task,mslatte,0
book library rooms,book library rooms,task,mslatte,0
get tennis balls,get tennis balls,task,mslatte,0
antibiotic morning,antibiotic morning,task,mslatte,0
finish gym,finish gym,task,mslatte,0
work phone and charger,work phone and charger,task,mslatte,0
schedule car inspection,schedule car inspection,task,mslatte,0
sweep front step,sweep front step,task,mslatte,0
jahanvi seeds,jahanvi seeds,task,mslatte,0
christmas posters,christmas posters,task,mslatte,0
do x ray,do x ray,task,mslatte,0
sort out direct debits,sort out direct debits,task,mslatte,0
download google docs app,download google docs app,task,mslatte,0
website copy review,website copy review,task,mslatte,0
check bike out,check bike out,task,mslatte,0
reach out,reach out,task,mslatte,0
savings plan,savings plan,task,mslatte,0
sort ebay return,sort ebay return,task,mslatte,0
pay joanna,pay joanna,task,mslatte,0
fix screen on phone,fix screen on phone,task,mslatte,0
call wegmans,call wegmans,task,mslatte,0
one article,one article,task,mslatte,0
check into hotel,check into hotel,task,mslatte,0
watch weather,watch weather,task,mslatte,0
two together railcard,two together railcard,task,mslatte,0
buy tix,buy tix,task,mslatte,0
first aid,first aid,task,mslatte,0
pay kiddivouchers,pay kiddivouchers,task,mslatte,0
flexible working,flexible working,task,mslatte,0
download headspace,download headspace,task,mslatte,0
call neurology,call neurology,task,mslatte,0
buy btc,buy btc,task,mslatte,0
algebra wkst,algebra wkst,task,mslatte,0
garage door fixed,garage door fixed,task,mslatte,0
ww meeting,ww meeting,task,mslatte,0
miss saigon tix,miss saigon tix,task,mslatte,0
emissions inspection,emissions inspection,task,mslatte,0
moving sale,moving sale,task,mslatte,0
pay cr card,pay cr card,task,mslatte,0
sweep and mop hallway,sweep and mop hallway,task,mslatte,0
finish payments,finish payments,task,mslatte,0
send updated schedule,send updated schedule,task,mslatte,0
bottled water,bottled water,task,mslatte,0
airbag,airbag,task,mslatte,0
ken soap,ken soap,task,mslatte,0
refill easy pass,refill easy pass,task,mslatte,0
change fonts,change fonts,task,mslatte,0
toilet paper dog food,toilet paper dog food,task,mslatte,0
pick up drycleaner,pick up drycleaner,task,mslatte,0
respond to kristie,respond to kristie,task,mslatte,0
sort out christmas plans,sort out christmas plans,task,mslatte,0
grandma thank you card,grandma thank you card,task,mslatte,0
credit freezes,credit freezes,task,mslatte,0
note for parents,note for parents,task,mslatte,0
turn in clinical paperwork,turn in clinical paperwork,task,mslatte,0
call about car tax,call about car tax,task,mslatte,0
paper flower,paper flower,task,mslatte,0
email rn,email rn,task,mslatte,0
massage at 04,massage at 04,task,mslatte,0
work strategy,work strategy,task,mslatte,0
nebulizer,nebulizer,task,mslatte,0
go to store for dinner,go to store for dinner,task,mslatte,0
my books,my books,task,mslatte,0
read on writing,read on writing,task,mslatte,0
carp salt,carp salt,task,mslatte,0
measure weight,measure weight,task,mslatte,0
buy diatomaceous earth,buy diatomaceous earth,task,mslatte,0
bpi card,bpi card,task,mslatte,0
table design,table design,task,mslatte,0
pillow,pillow,task,mslatte,0
mom shop,mom shop,task,mslatte,0
shareholder update,shareholder update,task,mslatte,0
voice memos,voice memos,task,mslatte,0
blog stats,blog stats,task,mslatte,0
sort evernote notes,sort evernote notes,task,mslatte,0
work on bathroom,work on bathroom,task,mslatte,0
install water heater,install water heater,task,mslatte,0
sticks for smores,sticks for smores,task,mslatte,0
