sentence,label,label_source
"Summary memo — until May 8, 2026 at noon.",deadline,synthetic
code fix - due january 25.,deadline,synthetic
Complete the minutes required by Friday at 2pm.,deadline,synthetic
Don't forget to post the slides expected by Saturday.,deadline,synthetic
"Finish the evaluation deadline for January 26, 2026 at 6pm.",deadline,synthetic
Minutes no later than March 17.,deadline,synthetic
Turn in the meeting notes deadline for in 2 weeks.,deadline,synthetic
due: dataset in 1 week,deadline,synthetic
expense report due EOW,deadline,synthetic
• Post the meeting notes deadline Monday at 10am for the review.,deadline,synthetic
assignment by today,deadline,synthetic
meeting notes by December 11 at 5pm,deadline,synthetic
"Email release notes — due August 16, 2026",deadline,synthetic
"Proposal — until January 19 at 9am, if possible.",deadline,synthetic
Assignment should be on or before in 4 hours.,deadline,synthetic
finish expense report by Monday at 10am,deadline,synthetic
Submit the article due in 3 weeks.,deadline,synthetic
documentation by 9am,deadline,synthetic
do analysis by Friday at 5pm,deadline,synthetic
form by noon,deadline,synthetic
"finish dataset by tomorrow, — thanks",deadline,synthetic
can we have the budget due by may 6?,deadline,synthetic
Research notes should be deadline for by the close of business.,deadline,synthetic
Deliver the design doc no later than next Saturday.,deadline,synthetic
prepare meeting notes by Sunday at 8pm.,deadline,synthetic
"Tarun, please email the presentation due 6pm.",deadline,synthetic
Turn in analysis — due tomorrow,deadline,synthetic
- Compile the test plan before Thursday at 11am,deadline,synthetic
"make analysis by March 8, 2026 at 3pm",deadline,synthetic
"Post the report — until next Friday, please.",deadline,synthetic
Resolve draft — due July 19 by 11am,deadline,synthetic
• Produce the expense report expected by September 2,deadline,synthetic
team: Post the release notes no later than October 24.,deadline,synthetic
assignment due in 6 days for the review.,deadline,synthetic
Return summary — due in 6 days,deadline,synthetic
Needs to be no later than August 19: analysis. Thanks!,deadline,synthetic
create test plan before Saturday at 4pm,deadline,synthetic
- test plan - due Wednesday at 1pm,deadline,synthetic
no later than: release notes by end of week.,deadline,synthetic
"Is the documentation due 6pm? by then, please.",deadline,synthetic
Schedule needs to be on or before April 4.,deadline,synthetic
due: release notes in 1 day at 1pm,deadline,synthetic
Reminder: meeting notes on or before 11:59pm.,deadline,synthetic
do test plan by 4pm,deadline,synthetic
Ensure the meeting notes is no later than tomorrow.,deadline,synthetic
due: budget in 6 days,deadline,synthetic
due: code fix September 12 at 7pm,deadline,synthetic
Can we have the contract expected by this Thursday?,deadline,synthetic
Proposal needs to be due on today.,deadline,synthetic
Hand in the evaluation due on next Sunday.,deadline,synthetic
Design doc expected by by EOD.,deadline,synthetic
Don't forget to turn in the release notes deadline Monday.,deadline,synthetic
Email form — due Tuesday,deadline,synthetic
* summary memo - due in 2 weeks,deadline,synthetic
Reminder: report deadline 11:59pm.,deadline,synthetic
Meeting notes — due on by the close of business.,deadline,synthetic
Compile summary — due this Wednesday,deadline,synthetic
finish dataset by Monday at 1pm.,deadline,synthetic
When is the assignment due? (Preferably in 3 weeks).,deadline,synthetic
finish design doc by Tuesday at 3pm,deadline,synthetic
Please post the analysis due May 7.,deadline,synthetic
no later than: contract ASAP.,deadline,synthetic
Is the research notes due tomorrow?,deadline,synthetic
When is the test plan due? (Preferably Monday),deadline,synthetic
* Implement the form by next Thursday,deadline,synthetic
project plan due next Wednesday.,deadline,synthetic
Budget - due Sunday at 3pm.,deadline,synthetic
* schedule - due December 21 at 3pm,deadline,synthetic
bob: provide the code fix due by wednesday.,deadline,synthetic
Ensure the report is no later than this Sunday.,deadline,synthetic
minutes by Monday,deadline,synthetic
Make sure the design doc is no later than February 8.,deadline,synthetic
