sentence,label,label_source
"Summary memo — until May 8, 2026 at noon.",deadline,synthetic
code fix - due january 25.,deadline,synthetic
Complete the minutes required by Friday at 2pm.,deadline,synthetic
Please post the slides in Saturday.,deadline,synthetic
"Finish the budget deadline for January 26, 2026 at 6pm.",deadline,synthetic
Minutes no later than March 17.,deadline,synthetic
Turn in the meeting notes deadline for in 5 days.,deadline,synthetic
due: dataset in 4 days,deadline,synthetic
- Complete the expense report no later than in 6 months,deadline,synthetic
application by 7pm,deadline,synthetic
* analysis - due one hour tops,deadline,synthetic
Don't forget to provide the project plan due Saturday at 7pm.,deadline,synthetic
expense report - due next week,deadline,synthetic
ETA: timesheet until Saturday.,deadline,synthetic
Article — on or before September 3 at noon.,deadline,synthetic
Assignment due Wednesday.,deadline,synthetic
"Please finalize the application expected by Wednesday, for the review.",deadline,synthetic
application due in 120 hours please.,deadline,synthetic
Provide contract no later than this Friday.,deadline,synthetic
"Ensure the assignment is on or before Sunday, please.",deadline,synthetic
"Please make sure to send the assignment before December 4, 2026 at noon, thanks.",deadline,synthetic
Please resolve the minutes in next Tuesday.,deadline,synthetic
Presentation should be deadline for September 22.,deadline,synthetic
Deliver the design doc no later than next Saturday.,deadline,synthetic
prepare meeting notes by Sunday at 8pm.,deadline,synthetic
"Email the presentation in 6pm. Best,",deadline,synthetic
Turn in analysis — due in 240 hours,deadline,synthetic
Test plan — compile in Thursday at 11am.,deadline,synthetic
budget by 10am at 3pm,deadline,synthetic
Reminder: report by next Wednesday.,deadline,synthetic
Return evaluation by 6pm - - Tarun,deadline,synthetic
"share budget deadline july 9 - regards,, thanks.",deadline,synthetic
• Turn in the meeting notes on or before next Sunday.,deadline,synthetic
expense report - due in 2 days,deadline,synthetic
- evaluation - due June 21,deadline,synthetic
Expense report should be on or before noon.,deadline,synthetic
"due: timesheet April 3, 2026",deadline,synthetic
Reminder: documentation deadline for Saturday.,deadline,synthetic
no later than: proposal October 25 at noon.,deadline,synthetic
"Is the documentation due 6pm? by then, please.",deadline,synthetic
Schedule needs to be on or before April 4.,deadline,synthetic
due: release notes in 2 hours at 1pm,deadline,synthetic
Reminder: meeting notes on or before 11:59pm.,deadline,synthetic
do test plan by 4pm,deadline,synthetic
Ensure the meeting notes is no later than one hour max.,deadline,synthetic
due: budget in 240 hours,deadline,synthetic
due: code fix September 12 at 7pm,deadline,synthetic
Can we have the contract expected by this Thursday?,deadline,synthetic
Please compile the proposal in in 1 second.,deadline,synthetic
Summary — upload in Thursday.,deadline,synthetic
Hand in the research notes due on next Sunday.,deadline,synthetic
Don't forget to turn in the release notes deadline Monday.,deadline,synthetic
Email form — due Tuesday,deadline,synthetic
* summary memo - due in 5 days,deadline,synthetic
Reminder: report deadline 11:59pm.,deadline,synthetic
Meeting notes — due on by end of month.,deadline,synthetic
Compile summary — due this Wednesday,deadline,synthetic
finish dataset by Monday at 1pm.,deadline,synthetic
When is the assignment due? (Preferably in 180 days).,deadline,synthetic
finish design doc by Tuesday at 3pm,deadline,synthetic
Please post the analysis due May 7.,deadline,synthetic
no later than: contract in 2 weeks.,deadline,synthetic
Is the research notes due one hour max?,deadline,synthetic
When is the test plan due? (Preferably Monday),deadline,synthetic
* Implement the form by next Thursday,deadline,synthetic
project plan due next Wednesday.,deadline,synthetic
Budget - due Sunday at 3pm.,deadline,synthetic
* Turn in the summary until in 300 days.,deadline,synthetic
ETA: application due this Friday.,deadline,synthetic
form due 11am,deadline,synthetic
application — implement in monday.,deadline,synthetic
Resolve minutes — due in 365 days,deadline,synthetic
