sentence_orig,sentence,label,label_source,has_signoff
"Summary memo — until May 8, 2026 at noon.","summary memo — until may 8, 2026 at noon",deadline,synthetic,0
code fix - due january 25.,code fix - due january 25,deadline,synthetic,0
Complete the minutes required by Friday at 2pm.,complete the minutes required by friday at 2pm,deadline,synthetic,0
Please post the slides in Saturday.,please post the slides in saturday,deadline,synthetic,0
"Finish the budget deadline for January 26, 2026 at 6pm.","finish the budget deadline for january 26, 2026 at 6pm",deadline,synthetic,0
Minutes no later than March 17.,minutes no later than march 17,deadline,synthetic,0
Turn in the meeting notes deadline for in 5 days.,turn in the meeting notes deadline for in 5 days,deadline,synthetic,0
due: dataset in 4 days,due: dataset in 4 days,deadline,synthetic,0
- Complete the expense report no later than in 6 months,complete the expense report no later than in 6 months,deadline,synthetic,0
application by 7pm,application by 7pm,deadline,synthetic,0
* analysis - due one hour tops,analysis - due one hour tops,deadline,synthetic,0
Don't forget to provide the project plan due Saturday at 7pm.,don't forget to provide the project plan due saturday at 7pm,deadline,synthetic,0
expense report - due next week,expense report - due next week,deadline,synthetic,0
ETA: timesheet until Saturday.,eta: timesheet until saturday,deadline,synthetic,0
Article — on or before September 3 at noon.,article — on or before september 3 at noon,deadline,synthetic,0
Assignment due Wednesday.,assignment due wednesday,deadline,synthetic,0
"Please finalize the application expected by Wednesday, for the review.","please finalize the application expected by wednesday, for the review",deadline,synthetic,0
application due in 120 hours please.,application due in 120 hours please,deadline,synthetic,0
Provide contract no later than this Friday.,provide contract no later than this friday,deadline,synthetic,0
"Ensure the assignment is on or before Sunday, please.","ensure the assignment is on or before sunday, please",deadline,synthetic,0
"Please make sure to send the assignment before December 4, 2026 at noon, thanks.","please make sure to send the assignment before december 4, 2026 at noon",deadline,synthetic,1
Please resolve the minutes in next Tuesday.,please resolve the minutes in next tuesday,deadline,synthetic,0
Presentation should be deadline for September 22.,presentation should be deadline for september 22,deadline,synthetic,0
Deliver the design doc no later than next Saturday.,deliver the design doc no later than next saturday,deadline,synthetic,0
prepare meeting notes by Sunday at 8pm.,prepare meeting notes by sunday at 8pm,deadline,synthetic,0
"Email the presentation in 6pm. Best,",email the presentation in 6pm,deadline,synthetic,1
Turn in analysis — due in 240 hours,turn in analysis — due in 240 hours,deadline,synthetic,0
Test plan — compile in Thursday at 11am.,test plan — compile in thursday at 11am,deadline,synthetic,0
budget by 10am at 3pm,budget by 10am at 3pm,deadline,synthetic,0
Reminder: report by next Wednesday.,reminder: report by next wednesday,deadline,synthetic,0
Return evaluation by 6pm - - Tarun,return evaluation by 6pm - - tarun,deadline,synthetic,0
"share budget deadline july 9 - regards,, thanks.",share budget deadline july 9 - regards,deadline,synthetic,1
• Turn in the meeting notes on or before next Sunday.,turn in the meeting notes on or before next sunday,deadline,synthetic,0
expense report - due in 2 days,expense report - due in 2 days,deadline,synthetic,0
- evaluation - due June 21,evaluation - due june 21,deadline,synthetic,0
Expense report should be on or before noon.,expense report should be on or before noon,deadline,synthetic,0
"due: timesheet April 3, 2026","due: timesheet april 3, 2026",deadline,synthetic,0
Reminder: documentation deadline for Saturday.,reminder: documentation deadline for saturday,deadline,synthetic,0
no later than: proposal October 25 at noon.,no later than: proposal october 25 at noon,deadline,synthetic,0
"Is the documentation due 6pm? by then, please.","is the documentation due 6pm? by then, please",deadline,synthetic,0
Schedule needs to be on or before April 4.,schedule needs to be on or before april 4,deadline,synthetic,0
due: release notes in 2 hours at 1pm,due: release notes in 2 hours at 1pm,deadline,synthetic,0
Reminder: meeting notes on or before 11:59pm.,reminder: meeting notes on or before 11:59pm,deadline,synthetic,0
do test plan by 4pm,do test plan by 4pm,deadline,synthetic,0
Ensure the meeting notes is no later than one hour max.,ensure the meeting notes is no later than one hour max,deadline,synthetic,0
due: budget in 240 hours,due: budget in 240 hours,deadline,synthetic,0
due: code fix September 12 at 7pm,due: code fix september 12 at 7pm,deadline,synthetic,0
Can we have the contract expected by this Thursday?,can we have the contract expected by this thursday,deadline,synthetic,0
Please compile the proposal in in 1 second.,please compile the proposal in in 1 second,deadline,synthetic,0
Summary — upload in Thursday.,summary — upload in thursday,deadline,synthetic,0
Hand in the research notes due on next Sunday.,hand in the research notes due on next sunday,deadline,synthetic,0
Don't forget to turn in the release notes deadline Monday.,don't forget to turn in the release notes deadline monday,deadline,synthetic,0
Email form — due Tuesday,email form — due tuesday,deadline,synthetic,0
* summary memo - due in 5 days,summary memo - due in 5 days,deadline,synthetic,0
Reminder: report deadline 11:59pm.,reminder: report deadline 11:59pm,deadline,synthetic,0
Meeting notes — due on by end of month.,meeting notes — due on by end of month,deadline,synthetic,0
Compile summary — due this Wednesday,compile summary — due this wednesday,deadline,synthetic,0
finish dataset by Monday at 1pm.,finish dataset by monday at 1pm,deadline,synthetic,0
When is the assignment due? (Preferably in 180 days).,when is the assignment due? (preferably in 180 days,deadline,synthetic,0
finish design doc by Tuesday at 3pm,finish design doc by tuesday at 3pm,deadline,synthetic,0
Please post the analysis due May 7.,please post the analysis due may 7,deadline,synthetic,0
no later than: contract in 2 weeks.,no later than: contract in 2 weeks,deadline,synthetic,0
Is the research notes due one hour max?,is the research notes due one hour max,deadline,synthetic,0
When is the test plan due? (Preferably Monday),when is the test plan due? (preferably monday,deadline,synthetic,0
* Implement the form by next Thursday,implement the form by next thursday,deadline,synthetic,0
project plan due next Wednesday.,project plan due next wednesday,deadline,synthetic,0
Budget - due Sunday at 3pm.,budget - due sunday at 3pm,deadline,synthetic,0
* Turn in the summary until in 300 days.,turn in the summary until in 300 days,deadline,synthetic,0
ETA: application due this Friday.,eta: application due this friday,deadline,synthetic,0
form due 11am,form due 11am,deadline,synthetic,0
application — implement in monday.,application — implement in monday,deadline,synthetic,0
Resolve minutes — due in 365 days,resolve minutes — due in 365 days,deadline,synthetic,0
• Share the invoice deadline for June 6 — thanks,share the invoice deadline for june 6,deadline,synthetic,1
Needs to be expected by next Wednesday: summary memo.,needs to be expected by next wednesday: summary memo,deadline,synthetic,0
Return the documentation on or before in 4 weeks.,return the documentation on or before in 4 weeks,deadline,synthetic,0
make expense report by next Sunday,make expense report by next sunday,deadline,synthetic,0
Ensure the summary memo is before Tuesday.,ensure the summary memo is before tuesday,deadline,synthetic,0
make application by this Sunday,make application by this sunday,deadline,synthetic,0
Schedule — required by 1pm.,schedule — required by 1pm,deadline,synthetic,0
finish test plan by November 14 at noon,finish test plan by november 14 at noon,deadline,synthetic,0
Can we have the contract on or before Thursday at noon?,can we have the contract on or before thursday at noon,deadline,synthetic,0
Make sure to produce the summary memo within 5pm.,make sure to produce the summary memo within 5pm,deadline,synthetic,0
finish evaluation by 9am,finish evaluation by 9am,deadline,synthetic,0
Presentation — no later than 4pm.,presentation — no later than 4pm,deadline,synthetic,0
"• release notes - due February 2, 2026","release notes - due february 2, 2026",deadline,synthetic,0
"make project plan by one minute asap. Best,",make project plan by one minute asap,deadline,synthetic,1
Ruthik: Turn in the assignment no later than in 7 days.,ruthik: turn in the assignment no later than in 7 days,deadline,synthetic,0
Finish code fix no later than this Monday.,finish code fix no later than this monday,deadline,synthetic,0
finish invoice by Thursday,finish invoice by thursday,deadline,synthetic,0
due: evaluation this Wednesday please.,due: evaluation this wednesday please,deadline,synthetic,0
Complete presentation within in 48 hours.,complete presentation within in 48 hours,deadline,synthetic,0
Presentation should be due by the end of the quarter.,presentation should be due by the end of the quarter,deadline,synthetic,0
Ensure the contract is due on May 23.,ensure the contract is due on may 23,deadline,synthetic,0
Due next Sunday: summary.,due next sunday: summary,deadline,synthetic,0
"Code fix should be until February 3, 2026.","code fix should be until february 3, 2026",deadline,synthetic,0
Implement the summary memo in March 14.,implement the summary memo in march 14,deadline,synthetic,0
• contract - due May 20 at 9am,contract - due may 20 at 9am,deadline,synthetic,0
Don't forget to prepare the timesheet deadline for in 120 hours.,don't forget to prepare the timesheet deadline for in 120 hours,deadline,synthetic,0
"Documentation - due October 5, 2026.","documentation - due october 5, 2026",deadline,synthetic,0
"When is the minutes due? (Preferably March 27, 2026).","when is the minutes due? (preferably march 27, 2026",deadline,synthetic,0
Please deliver the presentation in Saturday at 7pm.,please deliver the presentation in saturday at 7pm,deadline,synthetic,0
create application before Friday,create application before friday,deadline,synthetic,0
Minutes should be no later than January 5.,minutes should be no later than january 5,deadline,synthetic,0
Please produce the contract in in 1 hour.,please produce the contract in in 1 hour,deadline,synthetic,0
Due January 19: schedule.,due january 19: schedule,deadline,synthetic,0
"Pls produce the form required by 8pm, thanks.",pls produce the form required by 8pm,deadline,synthetic,1
"Tarun, please send the meeting notes no later than in 4 hours.","tarun, please send the meeting notes no later than in 4 hours",deadline,synthetic,0
Is the contract due October 24 by 5pm?,is the contract due october 24 by 5pm,deadline,synthetic,0
- analysis - due next Wednesday at 11am,analysis - due next wednesday at 11am,deadline,synthetic,0
Presentation - due in 240 hours.,presentation - due in 240 hours,deadline,synthetic,0
compile draft by this Wednesday.,compile draft by this wednesday,deadline,synthetic,0
Don't forget to provide the evaluation before this Tuesday.,don't forget to provide the evaluation before this tuesday,deadline,synthetic,0
"finish summary by February 15, 2026","finish summary by february 15, 2026",deadline,synthetic,0
• project plan - due 11:59pm,project plan - due 11:59pm,deadline,synthetic,0
manager: Resolve the presentation no later than noon.,manager: resolve the presentation no later than noon,deadline,synthetic,0
"ETA: article required by next Saturday, please.","eta: article required by next saturday, please",deadline,synthetic,0
make documentation by this Sunday,make documentation by this sunday,deadline,synthetic,0
slides due this Sunday,slides due this sunday,deadline,synthetic,0
due: test plan november 14 at 8pm,due: test plan november 14 at 8pm,deadline,synthetic,0
"Please make sure to finish the release notes due by May 8, thanks.",please make sure to finish the release notes due by may 8,deadline,synthetic,1
make slides by next Saturday,make slides by next saturday,deadline,synthetic,0
due: code fix Friday at 5pm,due: code fix friday at 5pm,deadline,synthetic,0
finish form by noon.,finish form by noon,deadline,synthetic,0
Produce the release notes due on 8pm.,produce the release notes due on 8pm,deadline,synthetic,0
Implement minutes — due in 90 days,implement minutes — due in 90 days,deadline,synthetic,0
Finish the contract in Monday at 7pm.,finish the contract in monday at 7pm,deadline,synthetic,0
- Produce the documentation deadline September 18 by 5pm,produce the documentation deadline september 18 by 5pm,deadline,synthetic,0
make summary by this Wednesday,make summary by this wednesday,deadline,synthetic,0
Implement budget deadline 10am.,implement budget deadline 10am,deadline,synthetic,0
"make dataset by April 19, 2026","make dataset by april 19, 2026",deadline,synthetic,0
Expense report — compile in in 2 hours.,expense report — compile in in 2 hours,deadline,synthetic,0
"finish minutes by October 22, 2026","finish minutes by october 22, 2026",deadline,synthetic,0
code fix - due immediately,code fix - due immediately,deadline,synthetic,0
Minutes needs to be no later than in 4 days.,minutes needs to be no later than in 4 days,deadline,synthetic,0
Summary needs to be on or before 8pm.,summary needs to be on or before 8pm,deadline,synthetic,0
"finance, please hand in the project plan no later than Saturday.","finance, please hand in the project plan no later than saturday",deadline,synthetic,0
Turn in the summary in noon.,turn in the summary in noon,deadline,synthetic,0
"PM, please produce the meeting notes due by May 8, 2026 at 3pm, please.","pm, please produce the meeting notes due by may 8, 2026 at 3pm, please",deadline,synthetic,0
Invoice - due in 120 hours.,invoice - due in 120 hours,deadline,synthetic,0
Code fix — deadline for Friday at 8pm.,code fix — deadline for friday at 8pm,deadline,synthetic,0
"Post documentation due Saturday - Regards,.",post documentation due saturday - regards,deadline,synthetic,0
• resolve the budget no later than sunday,resolve the budget no later than sunday,deadline,synthetic,0
- Complete the design doc due on Friday at 11am,complete the design doc due on friday at 11am,deadline,synthetic,0
Code fix needs to be on or before in 5 days.,code fix needs to be on or before in 5 days,deadline,synthetic,0
Ensure the project plan is no later than Saturday. Thanks!,ensure the project plan is no later than saturday,deadline,synthetic,1
* minutes - due Saturday.,minutes - due saturday,deadline,synthetic,0
Make sure to implement the code fix within in 6 months.,make sure to implement the code fix within in 6 months,deadline,synthetic,0
Email the release notes within Thursday at 1pm.,email the release notes within thursday at 1pm,deadline,synthetic,0
Prepare the proposal — due by in 30 days.,prepare the proposal — due by in 30 days,deadline,synthetic,0
Tarun: Finish the project plan due 7pm.,tarun: finish the project plan due 7pm,deadline,synthetic,0
Research notes — before Saturday at 2pm.,research notes — before saturday at 2pm,deadline,synthetic,0
Needs to be due by July 7: code fix.,needs to be due by july 7: code fix,deadline,synthetic,0
due: release notes this Monday.,due: release notes this monday,deadline,synthetic,0
Email the expense report no later than Monday at 10am.,email the expense report no later than monday at 10am,deadline,synthetic,0
• Hand in the test plan due on 6pm,hand in the test plan due on 6pm,deadline,synthetic,0
"finish minutes by November 20, 2026","finish minutes by november 20, 2026",deadline,synthetic,0
"• Send the report required by January 26, 2026 by 11:59pm","send the report required by january 26, 2026 by 11:59pm",deadline,synthetic,0
Budget — due in 3 months.,budget — due in 3 months,deadline,synthetic,0
"Turn in the slides within March 23, 2026. Best,","turn in the slides within march 23, 2026",deadline,synthetic,1
"article by October 21, 2026","article by october 21, 2026",deadline,synthetic,0
assignment by this Tuesday,assignment by this tuesday,deadline,synthetic,0
finish presentation by September 2 at 1pm,finish presentation by september 2 at 1pm,deadline,synthetic,0
• documentation - due in 300 days,documentation - due in 300 days,deadline,synthetic,0
- Deliver the test plan no later than September 8,deliver the test plan no later than september 8,deadline,synthetic,0
Summary memo should be no later than October 2.,summary memo should be no later than october 2,deadline,synthetic,0
Draft — due on August 11.,draft — due on august 11,deadline,synthetic,0
"Don't forget to hand in the budget due on April 12, 2026 at 11am.","don't forget to hand in the budget due on april 12, 2026 at 11am",deadline,synthetic,0
assignment - due July 12,assignment - due july 12,deadline,synthetic,0
Ensure the presentation is by 3pm.,ensure the presentation is by 3pm,deadline,synthetic,0
"Email form due in 30 days - Regards,",email form due in 30 days,deadline,synthetic,1
Reminder: research notes by Wednesday at 6pm.,reminder: research notes by wednesday at 6pm,deadline,synthetic,0
* schedule - due 10am,schedule - due 10am,deadline,synthetic,0
"Email the assignment deadline for August 1, 2026.","email the assignment deadline for august 1, 2026",deadline,synthetic,0
Summary should be due in 8 hours.,summary should be due in 8 hours,deadline,synthetic,0
Finalize schedule deadline Wednesday at 11am.,finalize schedule deadline wednesday at 11am,deadline,synthetic,0
"ETA: documentation deadline next Wednesday, — thanks",eta: documentation deadline next wednesday,deadline,synthetic,1
* project plan - due 4pm,project plan - due 4pm,deadline,synthetic,0
• budget - due 10am,budget - due 10am,deadline,synthetic,0
project plan by June 7,project plan by june 7,deadline,synthetic,0
"Produce application due on January 7, 2026 at 10am - - Ruthik","produce application due on january 7, 2026 at 10am - - ruthik",deadline,synthetic,0
"• Send the code fix due May 19, 2026 asap.","send the code fix due may 19, 2026 asap",deadline,synthetic,0
* documentation - due 4pm,documentation - due 4pm,deadline,synthetic,0
Proposal expected by July 3.,proposal expected by july 3,deadline,synthetic,0
Report — implement in Thursday.,report — implement in thursday,deadline,synthetic,0
"QA, please implement the documentation on or before one hour max. Best,","qa, please implement the documentation on or before one hour max",deadline,synthetic,1
Send the application — due in 3 months.,send the application — due in 3 months,deadline,synthetic,0
documentation by 9am,documentation by 9am,deadline,synthetic,0
Due 8pm: code fix.,due 8pm: code fix,deadline,synthetic,0
* contract - due Wednesday at 8pm,contract - due wednesday at 8pm,deadline,synthetic,0
Reminder: article before 11:59pm.,reminder: article before 11:59pm,deadline,synthetic,0
"Pls post the minutes on or before next Saturday, if possible.","pls post the minutes on or before next saturday, if possible",deadline,synthetic,0
documentation - due next Sunday,documentation - due next sunday,deadline,synthetic,0
Send the application in 3pm.,send the application in 3pm,deadline,synthetic,0
HR: Finalize the dataset due on in 2 weeks.,hr: finalize the dataset due on in 2 weeks,deadline,synthetic,0
do analysis by Thursday,do analysis by thursday,deadline,synthetic,0
"Ensure the draft is deadline for Thursday at 11am, by then, please.","ensure the draft is deadline for thursday at 11am, by then, please",deadline,synthetic,0
complete the documentation deadline july 21. - Team,complete the documentation deadline july 21. - team,deadline,synthetic,0
• design doc - due next Tuesday,design doc - due next tuesday,deadline,synthetic,0
"finish release notes by July 1, 2026","finish release notes by july 1, 2026",deadline,synthetic,0
Needs to be deadline in 1 day: form.,needs to be deadline in 1 day: form,deadline,synthetic,0
"Meeting notes - due October 23, 2026.","meeting notes - due october 23, 2026",deadline,synthetic,0
* project plan - due September 16,project plan - due september 16,deadline,synthetic,0
QA: Email the timesheet due Wednesday at 4pm.,qa: email the timesheet due wednesday at 4pm,deadline,synthetic,0
create meeting notes before Friday at 1pm,create meeting notes before friday at 1pm,deadline,synthetic,0
"Ensure the research notes is due on December 24, 2026.","ensure the research notes is due on december 24, 2026",deadline,synthetic,0
- Hand in the analysis due Thursday,hand in the analysis due thursday,deadline,synthetic,0
Turn in the article expected by Thursday at 2pm.,turn in the article expected by thursday at 2pm,deadline,synthetic,0
documentation - due May 2,documentation - due may 2,deadline,synthetic,0
Finish project plan on or before this Sunday - - Team,finish project plan on or before this sunday - - team,deadline,synthetic,0
Produce the contract deadline for in 24 hours.,produce the contract deadline for in 24 hours,deadline,synthetic,0
"test plan by October 7, 2026.","test plan by october 7, 2026",deadline,synthetic,0
until: schedule August 1 by 6pm.,until: schedule august 1 by 6pm,deadline,synthetic,0
* Email the form until June 10 at 8pm,email the form until june 10 at 8pm,deadline,synthetic,0
Finalize the design doc in Wednesday.,finalize the design doc in wednesday,deadline,synthetic,0
Turn in the article expected by March 2 by 11am.,turn in the article expected by march 2 by 11am,deadline,synthetic,0
email contract within in 4 days.,email contract within in 4 days,deadline,synthetic,0
Target: release notes until by the end of the quarter.,target: release notes until by the end of the quarter,deadline,synthetic,0
Finish minutes no later than Tuesday at 7pm.,finish minutes no later than tuesday at 7pm,deadline,synthetic,0
- schedule - due Wednesday at 5pm,schedule - due wednesday at 5pm,deadline,synthetic,0
• Compile the proposal deadline Sunday at 2pm,compile the proposal deadline sunday at 2pm,deadline,synthetic,0
Target: timesheet until one minute.,target: timesheet until one minute,deadline,synthetic,0
"Bob: Complete the summary memo due on November 25, 2026.","bob: complete the summary memo due on november 25, 2026",deadline,synthetic,0
"Alice: Complete the contract expected by next Thursday at 8pm, to meet the deadline.","alice: complete the contract expected by next thursday at 8pm, to meet the deadline",deadline,synthetic,0
Make sure the article is due on Friday.,make sure the article is due on friday,deadline,synthetic,0
Deliver the draft deadline by the end of the quarter.,deliver the draft deadline by the end of the quarter,deadline,synthetic,0
Post test plan — due November 28 at 1pm for the review.,post test plan — due november 28 at 1pm for the review,deadline,synthetic,0
"Budget needs to be deadline for November 8, 2026.","budget needs to be deadline for november 8, 2026",deadline,synthetic,0
Please hand in the evaluation deadline for noon.,please hand in the evaluation deadline for noon,deadline,synthetic,0
Can we have the analysis due by Wednesday at 3pm?,can we have the analysis due by wednesday at 3pm,deadline,synthetic,0
Reminder: meeting notes due by in 2 seconds.,reminder: meeting notes due by in 2 seconds,deadline,synthetic,0
Needs to be deadline for Monday at 9am: research notes.,needs to be deadline for monday at 9am: research notes,deadline,synthetic,0
Make sure the expense report is before April 17.,make sure the expense report is before april 17,deadline,synthetic,0
Make sure the evaluation is before in 8 hours.,make sure the evaluation is before in 8 hours,deadline,synthetic,0
• article - due 11am.,article - due 11am,deadline,synthetic,0
"Ruthik: Produce the documentation on or before July 20, 2026.","ruthik: produce the documentation on or before july 20, 2026",deadline,synthetic,0
Compile proposal on or before in 10 days.,compile proposal on or before in 10 days,deadline,synthetic,0
- Submit the contract by 11:59pm,submit the contract by 11:59pm,deadline,synthetic,0
implement the release notes within march 9 by 1pm.,implement the release notes within march 9 by 1pm,deadline,synthetic,0
create budget before next Wednesday,create budget before next wednesday,deadline,synthetic,0
Make sure the timesheet is deadline for Thursday at 8pm.,make sure the timesheet is deadline for thursday at 8pm,deadline,synthetic,0
Needs to be due Sunday at 3pm: presentation.,needs to be due sunday at 3pm: presentation,deadline,synthetic,0
Finish the application before 11am.,finish the application before 11am,deadline,synthetic,0
- Email the summary by COB.,email the summary by cob,deadline,synthetic,0
